district,state,pop_below_15,sex_ratio,sex_ratio_birth,hh_elec,hh_drnk_water,hh_sanitation,hh_fuel,hh_salt,hh_health_insurance,women_10yr_school,women_premarried,women_earlymother,women_menstrual,fam_contra,fam_modern_contra,fam_female_ster,fam_IUD,fam_pill,fam_condom,fam_injectibles,fam_unmet_need,fam_healthworkers,fam_sideeffects,mother_antenatal,mother_neonatal,mother_folic,mother_MCP,delivery_expense,institutional_birth,births_csection,child_vaccinated,child_public_vaccinated,child_private_vaccinated,child_diarrhoea,child_resp,child_diet,child_stunted,child_wasted,child_severely_wasted,child_underwght,child_overwght,women_lowBMI,women_highBMI,women_high_wh,child_anaemic,women_anaemic,young_women_anaemic,women_highBS,men_highBS,women_highBP,men_highBP,women_cervical,women_breast,women_oral,women_tobbaco,men_tobbaco,women_alc,men_alc,HDI,st,dc
Alirajpur,Madhya Pradesh,34.76,1008.29,941.62,98.51,89.62,84.69,17.37,97.12,42.53,17.29,30.7,5.88,48.47,75.9,72.22,61.21,1.11,3.29,6.11,0.37,6.78,40.5,76.14,54.71,90.29,17.99,99.3,601.84,80.03,4.21,82.67,100,0,2.42,0.65,6.57,34.6,15.43,5.41,31.56,2.3,19.64,10.88,52.93,76.37,60.46,76.54,7.28,7.98,22.0,27.73,0.0,0.0,0.0,10.6,46.26,7.02,37.41,0.479,23.0,48.0
Khandwa (East Nimar),Madhya Pradesh,26.03,998.58,1272.36,99.31,88.67,76.65,48.3,98.7,38.07,27.87,10.76,2.83,68.37,72.88,71.09,64.83,0.0,2.21,3.56,0.14,8.48,36.09,78.15,62.2,96.73,27.58,96.97,869.06,89.95,7.62,93.98,100,0.01,4.18,9.27,3.45,38.42,20.74,7.45,35.34,3.2,21.68,13.67,34.55,86.81,64.83,68.86,9.04,9.54,21.25,17.61,0.0,0.41,0.25,6.87,44.94,0.37,14.75,0.753,23.0,49.0
Burhanpur,Madhya Pradesh,27.92,941.32,816.26,98.33,95.96,74.02,68.19,94.93,42.18,26.27,17.76,1.81,66.07,75.68,71.54,53.08,0.92,4.82,10.78,0.51,6.78,32.7,82.75,63.1,95.43,60.65,98.8,1426.77,76.3,14.03,92.58,98.43,1.57,6.18,2.97,16.84,38.72,27.91,13.08,47.17,3.21,20.86,12.23,36.18,77.89,57.33,66.49,7.05,9.11,13.89,15.85,0.87,0.18,0.16,9.52,35.35,1.01,13.72,0.739,23.0,50.0
Agar Malwa,Madhya Pradesh,23.62,918.73,1212.12,99.52,81.43,72.29,39.47,99.85,58.88,19.29,35.56,5.28,67.57,78.22,72.98,63.99,0.6,1.17,5.79,0.0,3.44,24.19,54.96,76.53,97.09,44.64,98.58,1518.85,89.78,17.11,*,100,0.01,0.75,0.0,0.01,40.26,18.7,5.71,35.67,0.0,26.72,8.81,40.7,71.64,59.2,56.42,19.49,18.91,21.2,25.24,0.3,0.3,0.3,2.59,37.63,0.52,8.15,0.745,,
Shajapur,Madhya Pradesh,24.95,957.18,1011.76,99.87,91.75,74.51,37.71,97.23,34.33,19.61,24.43,5.91,59.8,78.16,71.78,53.43,1.75,1.85,10.9,0.91,6.14,28.22,75.92,64.68,96.33,29.84,97.92,1974.4,88.96,10.4,89.16,100,0,4.02,1.75,8.19,27.82,23.4,9.69,27.61,2.47,23.08,16.02,32.56,76.07,45.83,51.35,7.03,7.46,23.32,26.11,1.01,0.73,0.9,5.33,46.56,0.34,11.56,0.74,23.0,19.0
Nandurbar,Maharastra,26.6,960.8,884.71,96.17,94.6,54.09,40.3,97.59,15.34,29.91,24.02,10.6,47.5,62.58,61.16,50.7,1.23,3.39,3.59,0.13,9.67,11.79,50.29,58.17,91.0,25.31,99.21,1312.75,60.67,7.9,77.89,98.56,1.44,9.76,4.68,9.61,45.82,30.74,13.49,57.23,3.68,36.13,12.92,46.95,79.29,64.23,69.19,10.35,10.45,23.52,24.58,0.68,1.21,0.43,26.65,42.55,2.79,13.09,0.634,,
Dhule,Maharastra,27.34,999.46,919.11,95.96,89.92,58.9,65.05,98.01,19.83,40.76,40.51,14.98,60.72,51.93,50.3,41.21,1.01,1.08,6.72,0.0,13.11,19.07,48.4,63.17,80.48,16.54,93.67,2269.1,48.8,17.03,69.09,90.4,9.6,15.74,2.05,11.35,37.6,38.87,18.05,46.04,0.21,26.52,23.91,30.53,72.18,61.24,59.77,13.44,15.26,21.36,25.09,0.42,0.25,0.24,15.6,38.22,0.46,12.23,0.769,,
Jalgaon,Maharastra,25.06,983.22,856.55,96.77,94.32,59.73,79.46,96.81,11.89,40.8,28.03,10.68,70.05,44.04,43.62,35.39,1.83,0.56,5.58,0.12,14.9,9.44,46.97,58.39,82.19,20.37,91.02,3366.25,40.22,27.49,79.9,92.29,7.71,6.73,4.08,15.57,36.34,30.5,8.0,36.88,1.49,22.17,26.24,39.28,85.18,65.19,69.44,12.77,15.24,20.68,24.37,0.38,0.27,0.17,12.64,37.65,0.5,12.28,0.833,,
Buldana,Maharastra,23.99,957.44,1035.79,97.08,89.71,68.86,69.15,97.75,37.88,41.84,24.07,5.73,74.78,81.05,78.06,56.13,2.94,2.31,14.71,1.1,4.39,33.49,67.9,72.7,95.47,45.11,100.0,2641.05,70.9,17.56,78.48,97.64,2.36,8.79,6.33,4.12,44.95,31.72,14.84,47.18,4.78,21.62,15.67,37.96,79.4,57.84,66.77,10.22,9.03,20.05,20.46,1.02,0.0,0.35,12.04,42.53,0.19,14.25,0.849,,
Akola,Maharastra,23.53,951.1,895.76,97.59,95.09,69.48,75.52,95.18,40.12,52.74,13.49,5.68,79.72,76.99,72.81,48.63,2.87,3.8,16.28,0.49,6.81,33.81,59.46,76.28,92.92,40.39,98.27,1753.38,65.93,29.06,66.06,89.77,10.23,11.97,6.49,4.02,31.79,29.37,14.7,30.76,8.64,16.13,19.59,25.24,77.5,52.58,60.28,9.62,9.79,19.42,19.07,1.58,0.35,0.51,10.36,44.04,0.19,12.93,0.873,,
Washim,Maharastra,21.95,947.5,990.95,97.16,73.71,61.48,61.35,96.5,24.12,41.97,27.65,14.34,72.52,71.29,68.27,54.79,1.28,0.85,10.71,0.14,8.03,14.15,37.9,59.97,79.47,34.43,99.15,3071.45,65.12,18.01,75.46,100,0,19.19,5.09,3.25,35.32,31.69,15.21,39.3,6.93,20.07,14.16,18.02,70.36,56.35,53.85,8.11,9.13,21.92,20.99,1.84,0.57,0.85,14.34,39.12,0.38,11.25,0.796,,
Amravati,Maharastra,21.14,994.42,1090.21,99.06,95.81,75.71,71.72,98.53,31.87,55.03,9.77,3.63,83.0,79.2,77.7,56.39,1.3,3.7,14.43,0.29,4.61,19.97,52.76,71.7,93.83,23.71,99.08,3557.19,65.43,30.15,92.48,100,0.01,11.63,5.19,13.37,29.04,26.19,10.71,38.03,2.23,20.48,20.31,34.62,74.41,53.38,64.79,10.25,13.13,19.83,18.73,0.54,0.0,0.0,9.0,40.84,0.9,18.36,0.879,,
Wardha,Maharastra,20.37,979.06,1173.04,98.81,98.46,80.23,83.86,97.94,27.06,56.5,9.04,2.24,93.96,79.16,78.09,64.32,1.51,2.41,8.55,0.75,6.59,36.53,52.82,70.37,93.36,28.95,98.57,3481.6,72.39,24.1,87.38,97.63,2.37,5.96,2.48,7.33,27.65,28.08,12.46,31.34,3.98,17.14,19.6,39.61,71.38,59.99,63.49,8.98,10.35,17.14,13.99,0.42,0.0,0.17,9.48,52.56,0.59,24.58,0.903,,
Nagpur,Maharastra,20.9,971.17,925.83,99.51,99.48,88.85,96.03,97.58,25.61,67.59,7.11,0.89,88.47,84.07,81.16,61.02,3.5,1.67,13.96,0.4,4.22,39.52,62.36,71.44,92.81,41.96,96.63,3248.94,61.87,33.67,87.41,79.26,20.74,3.95,3.9,4.59,27.6,33.98,20.0,33.87,10.06,17.11,13.37,46.13,70.47,53.6,57.92,10.73,12.8,21.25,18.28,0.8,0.33,0.69,5.02,40.17,0.38,17.79,0.957,,
Bhandara,Maharastra,22.5,1004.44,897.2,98.83,92.03,81.82,71.4,95.36,29.96,53.93,1.49,3.04,93.07,77.46,75.64,63.32,1.06,1.62,6.67,0.13,6.1,30.47,51.61,78.97,94.75,29.04,99.42,2583.93,94.12,31.33,91.94,100,0.01,3.86,2.69,8.38,31.25,28.41,13.16,33.85,4.72,25.8,9.8,37.09,72.75,65.33,66.1,10.5,10.11,21.83,19.3,0.71,0.18,0.46,19.65,60.73,1.26,25.97,0.844,,
Gondiya,Maharastra,21.57,993.71,1050.44,98.22,91.56,74.31,68.01,98.04,30.6,54.11,6.53,0.0,88.58,78.29,77.84,62.32,0.92,1.11,6.55,0.27,7.82,36.41,61.73,66.2,98.31,18.97,98.69,1684.24,88.61,27.01,90.4,100,0.01,4.46,2.62,7.18,36.94,23.71,11.07,35.58,8.32,23.43,9.41,43.02,78.03,60.42,65.18,7.88,10.22,21.77,18.85,0.9,0.57,0.69,17.23,55.11,0.39,22.6,0.824,,
Gadchiroli,Maharastra,22.74,1047.91,1098.31,95.81,82.99,62.39,60.53,97.67,33.28,42.25,10.12,5.05,80.92,76.45,76.02,50.6,0.59,1.2,10.08,0.15,5.57,32.65,58.26,86.76,91.35,34.84,97.96,1846.82,90.48,17.32,95.6,100,0.01,4.72,3.18,4.53,35.71,30.01,13.48,35.41,9.46,24.28,5.62,45.05,76.57,66.16,67.31,7.26,10.3,16.96,17.22,1.13,0.9,0.9,26.54,61.35,3.07,34.69,0.762,,
Chandrapur,Maharastra,19.62,974.33,1024.92,98.85,96.46,77.31,85.1,97.35,28.94,57.47,9.0,3.1,84.09,80.09,78.14,60.1,3.12,1.04,11.89,0.26,4.48,39.13,57.44,68.49,94.03,53.34,100.0,2109.05,85.15,20.77,87.58,87.15,9.71,5.68,7.28,6.77,37.26,38.51,21.76,46.64,7.57,26.5,9.44,43.52,76.61,55.5,61.74,8.77,11.31,20.71,20.6,1.04,0.18,0.62,11.28,49.12,0.51,20.77,0.885,,
Yavatmal,Maharastra,22.12,985.87,1012.44,97.15,89.45,66.44,71.8,94.59,29.03,38.86,11.67,4.4,89.31,78.25,75.73,64.63,1.73,1.04,7.48,0.55,5.53,22.41,62.17,66.92,94.63,19.04,98.84,1733.77,67.39,15.95,77.64,94.85,5.15,7.35,0.0,2.55,36.62,27.47,15.07,39.42,6.68,23.17,10.5,31.12,75.21,58.38,64.12,10.58,10.67,17.19,18.2,1.27,0.43,0.0,12.3,46.58,0.65,20.1,0.817,,
Nanded,Maharastra,24.76,970.09,888.12,96.44,94.76,68.04,64.54,96.86,15.73,31.59,32.18,8.68,76.84,68.05,67.28,58.46,1.45,1.64,5.3,0.0,9.23,15.25,49.93,53.48,89.8,8.75,96.67,2963.83,66.71,14.0,84.88,93.02,6.98,14.41,0.95,3.84,35.98,18.95,8.68,35.18,3.45,22.89,19.18,37.04,76.12,57.34,63.13,9.13,12.11,16.67,17.28,1.63,0.2,0.0,5.67,36.65,0.21,14.11,0.782,,
Hingoli,Maharastra,24.83,961.97,838.16,98.13,92.41,69.04,53.1,99.01,14.66,33.19,37.06,14.42,77.17,73.07,72.85,58.71,1.34,3.5,8.8,0.5,10.35,11.27,41.52,66.61,88.51,10.86,98.78,3113.5,68.58,16.38,79.43,94.82,5.18,10.13,3.22,11.52,37.39,25.76,10.53,38.86,0.97,24.93,16.55,24.71,72.51,51.26,60.5,10.46,10.72,17.41,17.43,0.71,0.0,0.0,7.8,32.67,0.24,11.81,0.804,,
Parbhani,Maharastra,29.5,965.81,983.27,96.8,88.97,60.05,54.76,95.08,10.5,28.81,47.95,13.68,75.31,41.95,41.49,33.52,1.28,1.02,5.43,0.24,18.49,17.4,48.26,47.35,82.0,11.22,89.03,2778.64,53.59,12.48,75.43,93.11,5.5,18.64,1.38,1.85,37.63,22.8,7.64,41.8,2.97,20.36,23.72,27.13,75.42,58.84,60.21,11.57,13.41,20.97,21.58,3.84,0.88,0.22,6.95,37.65,0.06,13.77,0.777,,
Jalna,Maharastra,26.86,948.18,866.63,95.72,82.78,63.64,56.39,97.64,9.65,34.3,35.04,10.05,71.76,49.7,48.85,34.74,1.64,2.6,9.61,0.13,13.09,15.68,43.32,58.39,78.34,20.8,96.12,4177.68,57.31,15.2,68.88,96.09,2.64,19.01,6.99,5.17,37.97,22.17,8.17,39.03,1.28,23.31,20.58,21.4,68.31,58.17,54.62,10.98,13.02,21.79,24.8,2.35,1.41,1.86,7.02,32.49,0.2,11.33,0.782,,
Aurangabad,Maharastra,27.35,978.43,875.05,97.02,91.65,69.11,78.44,98.94,12.44,48.36,35.83,12.37,77.33,48.13,46.01,28.82,2.35,2.84,11.68,0.33,17.1,11.81,44.41,57.21,86.16,6.93,95.0,4039.43,61.13,17.53,81.74,98.37,1.63,12.64,4.07,11.74,34.22,26.37,11.79,42.9,2.77,20.28,24.4,24.67,64.5,52.38,47.44,13.1,14.1,20.75,20.86,2.49,0.19,0.37,7.85,33.8,0.24,13.69,0.693,,
Nashik,Maharastra,25.48,913.16,815.51,95.3,86.34,68.32,72.5,91.56,14.73,42.55,29.6,14.01,79.34,54.99,54.01,41.31,1.53,1.84,8.77,0.15,11.95,10.74,55.68,66.41,81.29,22.97,95.99,1698.37,52.0,21.24,82.8,92.17,7.83,19.23,4.65,13.54,42.21,27.15,11.4,44.84,2.16,25.64,21.66,37.63,67.28,56.19,56.24,10.27,12.04,22.47,26.14,0.35,0.21,0.0,15.39,34.97,0.21,12.18,0.793,,
Mumbai Suburban,Maharastra,20.21,921.36,702.63,99.17,99.79,62.63,98.68,99.51,20.19,65.72,9.96,1.54,96.2,64.63,58.72,37.53,2.22,0.93,18.04,0.0,10.38,20.4,48.18,72.2,90.13,30.24,92.57,3943.38,55.99,31.69,*,*,*,1.72,1.73,17.78,37.23,18.63,7.16,24.59,10.52,12.23,40.41,58.29,65.56,49.97,67.24,19.73,20.97,26.64,27.97,3.17,2.1,2.1,5.94,19.95,0.28,10.01,0.943,,
Mumbai,Maharastra,16.17,938.54,1019.21,99.64,100.0,58.55,98.25,98.28,30.69,71.05,4.5,0.95,99.1,74.33,71.74,47.0,4.13,1.94,18.05,0.15,4.92,19.19,77.82,87.05,95.37,49.54,93.09,6232.65,55.45,30.4,*,*,*,3.54,1.73,14.1,26.6,25.3,9.08,29.55,6.05,12.03,25.02,54.39,72.79,45.92,54.74,17.45,18.17,21.04,23.26,0.98,0.0,0.18,5.25,20.27,1.1,15.98,0.969,,
Raigarh,Maharastra,21.34,1003.12,870.75,97.93,87.79,74.8,83.27,80.25,26.29,44.96,15.97,7.52,89.59,73.62,70.87,55.05,1.54,2.16,11.62,0.19,6.13,22.43,64.66,83.14,96.6,42.64,98.43,1676.35,54.79,26.1,88.31,92.56,7.44,3.8,2.59,5.87,35.81,19.13,8.29,34.09,2.13,21.81,23.11,59.34,67.0,54.23,61.1,11.53,13.53,24.84,26.39,0.95,0.6,0.4,16.21,31.83,0.41,18.74,0.701,,
Pune,Maharastra,22.82,917.68,872.92,99.37,96.93,79.62,89.49,97.04,14.42,61.15,24.03,3.25,94.59,57.83,55.94,43.3,2.25,2.32,7.61,0.0,13.68,23.54,35.74,68.59,90.66,39.95,93.14,3677.42,43.39,34.57,79.17,81.55,16.68,6.66,3.32,9.58,30.7,31.36,13.99,32.66,1.31,19.6,31.02,43.73,58.73,51.93,58.62,12.33,15.08,22.4,25.8,3.77,2.31,0.9,11.69,27.9,0.16,11.55,0.909,,
Ahmadnagar,Maharastra,23.01,966.65,845.43,94.48,89.98,79.5,77.44,95.5,12.03,45.73,26.89,10.76,84.15,69.51,67.36,56.59,1.74,1.02,8.01,0.0,8.34,19.52,31.66,76.61,91.19,31.97,94.42,5575.04,45.48,28.14,88.34,93.13,6.87,15.91,2.66,9.81,31.68,24.93,8.56,41.19,1.78,21.5,22.97,44.62,64.45,50.3,45.04,10.95,12.47,23.6,25.29,1.25,0.19,0.19,14.69,37.71,0.24,10.53,0.859,,
Bid,Maharastra,23.95,934.16,843.16,94.76,85.38,66.41,54.36,96.25,9.27,38.56,43.71,15.19,70.69,58.08,56.68,42.93,3.02,2.17,8.44,0.12,13.94,14.45,48.46,56.83,78.3,21.81,97.55,3987.84,63.65,17.53,79.1,97.83,2.17,14.77,3.04,3.21,40.77,28.37,11.86,36.84,3.45,20.79,21.92,30.39,60.97,50.82,48.0,10.53,12.88,26.39,24.05,4.85,0.77,0.72,6.01,37.79,0.45,9.79,0.798,,
Latur,Maharastra,23.68,978.57,1264.94,97.24,94.6,72.46,78.47,97.82,33.59,40.68,30.96,14.18,81.02,78.16,77.17,63.97,0.88,2.69,9.48,0.14,4.59,18.63,72.45,72.64,86.37,37.96,100.0,2483.12,66.77,19.0,77.86,91,9,9.75,3.31,13.99,43.17,17.95,8.04,33.94,5.31,24.21,17.57,51.21,59.5,50.71,56.49,10.15,11.07,18.64,19.58,0.86,0.47,0.35,3.7,37.53,0.21,14.16,0.838,,
Osmanabad,Maharastra,24.72,992.4,1049.74,96.76,96.41,71.17,69.66,97.5,14.82,41.54,36.59,16.06,86.51,78.93,77.11,62.1,1.66,3.03,9.74,0.57,6.41,28.47,58.11,89.15,91.72,44.42,95.75,2653.85,68.39,18.46,85.33,92.02,7.98,9.18,4.12,12.76,37.23,16.09,5.47,32.48,1.81,19.13,25.14,44.48,67.43,49.14,50.88,9.47,11.15,23.47,26.17,4.32,0.0,0.0,7.97,44.15,0.26,12.35,0.848,,
Solapur,Maharastra,25.68,961.75,960.37,97.12,90.35,67.77,73.07,96.45,20.49,35.96,40.31,18.64,84.47,75.68,74.17,66.35,1.72,2.28,3.69,0.0,5.63,35.09,54.36,81.92,90.48,36.04,95.99,1909.7,51.45,21.18,86.33,88.65,7.68,11.37,2.44,7.86,36.33,23.18,9.99,32.93,4.25,21.16,28.15,52.08,70.92,54.52,60.23,11.1,12.24,25.74,26.22,1.33,0.34,0.52,10.18,39.15,0.31,13.14,0.828,,
Satara,Maharastra,20.57,1048.91,958.23,97.9,95.55,78.71,82.1,93.9,11.36,48.25,18.13,7.71,87.19,74.72,72.82,61.78,2.38,0.98,7.38,0.17,6.2,26.81,68.14,81.69,93.8,39.72,96.72,2606.51,43.78,36.17,76.26,97.34,2.66,10.35,5.92,15.85,20.17,20.45,5.17,28.0,2.33,22.93,26.55,47.18,68.94,49.58,48.73,12.04,12.89,27.17,29.8,1.23,0.45,0.0,29.46,40.56,0.51,11.65,0.875,,
Ratnagiri,Maharastra,16.32,1069.03,947.89,99.23,90.9,85.55,58.05,91.13,16.55,41.22,4.38,1.19,84.57,62.28,60.48,50.11,1.57,1.04,7.63,0.0,10.37,22.04,57.46,78.56,93.15,29.29,96.98,3096.1,53.48,30.81,95.22,97.57,0.01,2.67,2.4,8.64,31.74,23.66,12.62,29.54,3.77,25.75,17.66,53.2,69.35,43.44,33.71,16.87,16.53,32.4,33.89,1.4,0.37,0.24,18.43,31.29,0.51,13.02,0.818,,
Sindhudurg,Maharastra,16.17,1034.71,874.18,99.38,73.19,87.85,66.03,94.93,13.23,49.4,5.0,1.07,89.44,58.68,56.81,45.91,1.16,1.22,8.53,0.0,12.11,26.8,63.81,73.35,96.76,38.23,100.0,3289.76,65.48,31.81,76.33,100,0.01,0.59,1.35,2.6,30.83,27.74,14.87,32.04,5.85,21.51,20.81,61.42,55.64,41.24,35.96,20.6,23.39,36.63,37.89,1.92,0.63,0.43,11.49,26.8,0.13,8.45,0.871,,
Kolhapur,Maharastra,20.72,1024.9,936.66,98.75,97.29,82.03,84.68,97.68,16.45,53.78,20.95,8.83,91.88,71.4,69.19,60.16,0.41,1.67,6.58,0.0,8.08,27.91,52.44,81.75,88.29,39.38,95.29,2957.58,45.59,38.13,78,92.48,7.52,3.88,3.21,15.07,33.58,18.86,5.92,34.65,4.25,19.19,23.68,45.95,66.4,50.05,42.84,14.21,16.5,30.99,33.18,9.38,8.5,8.33,9.58,25.76,0.0,10.02,0.912,,
Sangli,Maharastra,21.37,1027.44,1011.83,98.19,96.75,84.69,87.31,98.75,12.28,54.58,26.95,10.42,87.44,67.11,64.72,56.49,1.13,0.94,5.68,0.23,10.36,27.61,56.17,80.09,97.43,32.1,97.1,3548.38,38.45,34.29,83.3,88.55,8.3,3.78,0.34,5.29,34.97,18.55,7.76,27.19,6.71,15.0,27.75,50.81,62.74,47.45,42.46,15.23,17.99,30.11,32.04,3.89,4.09,4.09,11.42,31.54,0.21,7.69,0.911,,
Palghar,Maharastra,22.6,963.15,747.23,97.65,91.09,75.05,75.02,86.52,18.82,48.28,14.61,4.67,83.78,71.83,65.96,49.59,1.2,1.87,12.41,0.15,8.2,21.56,53.02,86.32,94.43,44.26,92.88,1948.04,65.89,22.59,90.78,100,0.01,1.75,4.73,5.21,32.97,23.93,10.47,37.11,9.32,27.85,17.0,61.9,70.31,56.93,52.11,12.24,12.86,23.35,22.35,1.79,0.35,0.0,8.28,26.21,1.42,22.38,0.811,,
Thane,Maharastra,22.47,981.59,1029.32,99.29,96.73,74.68,90.4,97.54,22.73,55.92,18.37,4.03,91.52,61.6,57.12,37.64,1.69,1.74,16.06,0.0,10.32,24.7,56.93,70.19,97.42,32.18,93.37,2274.9,50.59,26.58,86.82,87.25,12.75,2.97,0.4,4.64,40.76,17.78,6.96,30.81,4.95,18.93,30.72,62.2,67.94,58.82,58.48,15.69,13.88,24.51,29.69,4.27,2.96,4.78,6.87,24.19,0.37,15.63,0.932,,
Senapati,Manipur,32.96,1053.3,937.55,98.8,64.4,84.38,49.95,98.83,15.35,39.57,15.46,6.33,84.4,65.24,17.49,2.8,4.33,6.06,3.19,0.79,8.5,6.36,44.87,64.92,85.17,15.64,77.13,12253.66,36.08,8.84,79.88,98.37,1.63,4.43,2.27,21.86,27.31,10.73,5.51,12.85,6.7,5.25,24.89,69.21,48.48,27.35,23.78,9.79,10.85,18.67,28.15,1.52,0.7,0.0,46.09,63.71,1.22,35.14,0.674,14.0,1.0
Tamenglong,Manipur,33.2,1031.71,931.51,93.63,51.6,77.91,30.54,99.47,16.77,33.12,19.92,10.22,71.02,65.23,22.19,3.94,12.28,1.52,4.44,0.0,8.42,3.97,52.51,56.42,81.01,9.91,78.32,8743.77,53.04,10.3,78.08,98.24,1.76,3.23,1.41,26.53,27.08,9.58,3.16,19.31,1.61,4.61,24.43,64.5,36.95,27.26,29.1,11.69,12.72,21.45,29.39,2.21,0.72,0.29,17.24,52.22,2.19,33.94,0.587,14.0,2.0
Churachandpur,Manipur,34.1,1144.31,1057.04,93.97,62.49,81.15,62.32,99.09,18.15,36.57,10.54,7.54,87.39,61.75,22.58,5.64,6.33,4.13,5.45,0.16,8.68,5.04,48.12,61.31,79.53,11.89,78.13,10646.29,50.36,9.59,78.9,91.69,5.58,4.01,1.34,23.62,25.07,12.13,5.82,9.79,4.53,7.08,27.99,54.68,41.13,31.97,28.72,13.46,15.17,16.31,25.24,0.63,0.5,0.42,62.08,73.81,1.16,38.13,0.723,14.0,3.0
Bishnupur,Manipur,26.38,1093.95,944.93,98.64,77.68,52.62,71.28,99.41,9.31,48.67,20.87,5.12,80.14,46.29,21.56,5.31,3.93,8.24,3.69,0.15,20.03,8.57,42.44,77.39,88.75,30.49,93.48,16362.49,68.64,38.22,76.67,94.3,5.7,9.73,2.08,21.09,15.5,7.85,2.12,11.67,3.11,7.67,40.92,63.28,42.35,35.75,33.27,13.43,15.77,23.61,31.28,1.67,1.12,0.19,48.77,60.23,0.8,44.25,0.74,14.0,4.0
Thoubal,Manipur,28.53,1095.31,908.85,98.61,72.54,61.25,74.71,99.79,19.14,40.72,17.54,7.51,81.62,72.17,17.83,2.42,5.49,4.85,4.79,0.15,5.97,2.04,54.18,89.88,92.92,45.3,91.42,13143.79,72.42,20.23,79.93,96.77,0,3.66,1.12,22.89,31.48,8.31,2.85,14.86,4.85,7.33,31.25,74.91,39.7,24.16,19.24,10.63,12.88,23.18,33.4,2.86,0.73,0.17,47.94,58.53,1.03,34.07,0.728,14.0,5.0
Imphal West,Manipur,24.8,1040.57,1038.82,99.42,89.12,58.71,88.57,98.95,15.68,61.92,15.33,10.86,94.64,69.9,16.35,3.5,4.5,3.02,5.23,0.0,12.46,7.1,35.37,93.39,92.7,36.72,49.96,14172.57,67.6,44.52,83.58,90.61,7.63,2.25,2.41,12.98,15.58,9.26,3.1,10.17,2.57,6.34,36.86,70.59,41.78,26.8,24.99,16.62,21.75,27.45,38.37,2.45,1.97,1.88,37.95,52.26,0.51,39.31,0.867,14.0,6.0
Imphal East,Manipur,25.95,1058.52,936.18,98.61,90.18,59.47,78.97,99.12,6.97,49.94,15.15,9.52,76.41,50.09,16.94,3.89,3.05,4.08,5.37,0.0,16.74,6.34,44.45,87.1,89.14,31.89,53.77,18578.21,66.65,35.82,72.49,87.63,10.67,11.67,1.87,19.23,18.38,11.69,2.37,14.4,0.46,8.69,40.06,59.13,50.32,35.89,35.98,15.93,18.48,21.92,36.04,2.26,3.25,1.85,39.62,53.48,0.76,36.12,0.808,14.0,7.0
Ukhrul,Manipur,30.87,968.93,996.36,94.95,50.85,81.44,22.86,99.42,17.03,49.72,11.14,9.83,80.58,56.87,12.3,1.98,3.78,2.01,2.94,0.81,12.73,6.72,41.39,38.81,81.56,11.65,78.26,13190.03,20.99,6.35,44.97,89.42,6.22,2.11,1.9,15.26,27.14,11.58,5.3,15.97,2.01,9.68,14.53,47.98,34.61,21.92,20.57,7.92,11.69,22.32,24.97,1.99,0.0,0.25,32.88,69.11,0.94,36.38,0.571,14.0,8.0
Chandel,Manipur,29.8,1076.94,1008.45,99.85,68.64,85.2,52.0,99.43,16.11,43.34,22.34,9.94,79.71,56.56,23.56,4.88,8.97,4.28,4.91,0.28,10.97,10.63,49.92,66.62,94.46,21.0,79.91,10920.35,37.38,14.89,69.92,86.65,8.75,4.91,1.19,14.19,33.98,8.28,3.19,14.7,8.72,3.65,33.74,71.19,42.36,27.27,37.76,13.42,14.45,21.67,28.18,1.05,0.0,0.11,47.9,64.74,1.19,39.05,0.71,14.0,9.0
South Garo Hills,Meghalaya,31.44,983.61,1010.83,98.64,60.35,88.39,22.31,83.6,79.5,38.42,10.18,1.09,66.56,37.63,33.3,3.84,8.99,15.84,2.75,1.6,25.33,20.29,63.68,33.25,85.98,14.59,98.9,2370.4,88.28,4.69,89.12,90.2,0.01,5.37,3.13,22.96,29.83,18.34,8.77,20.78,2.65,6.59,6.93,67.67,33.56,56.24,65.04,12.79,23.7,15.78,22.77,0.22,0.0,0.0,9.68,50.69,1.36,33.05,0.662,17.0,3.0
Ribhoi,Meghalaya,40.36,997.56,870.68,92.08,86.16,85.32,21.04,96.64,66.84,23.14,20.26,6.8,67.75,33.11,19.7,6.29,4.85,3.7,4.38,0.17,26.99,34.19,71.05,60.95,86.17,22.42,97.47,3647.8,45.6,8.7,86.66,92.64,4.06,11.29,3.58,37.3,42.49,17.94,7.5,29.64,4.77,15.54,12.21,59.37,45.67,62.36,57.11,7.96,8.1,13.51,15.98,0.59,0.39,0.39,34.07,60.4,0.68,30.85,0.595,17.0,5.0
East Khasi Hills,Meghalaya,34.25,1049.3,851.44,96.59,90.01,80.92,47.38,93.32,47.09,43.5,14.56,8.16,70.71,12.06,10.63,4.28,2.37,1.84,1.62,0.15,33.03,22.72,*,57.45,80.17,27.07,87.76,3257.55,48.4,13.9,69.35,87.49,9.93,11.51,5.05,34.82,44.64,11.18,4.92,23.82,4.53,11.58,15.58,49.27,38.97,48.19,39.95,9.05,9.35,24.53,25.01,1.34,1.34,0.77,29.79,51.9,1.18,24.01,0.725,17.0,6.0
