district,state,pop_below_15,sex_ratio,sex_ratio_birth,hh_elec,hh_drnk_water,hh_sanitation,hh_fuel,hh_salt,hh_health_insurance,women_10yr_school,women_premarried,women_earlymother,women_menstrual,fam_contra,fam_modern_contra,fam_female_ster,fam_IUD,fam_pill,fam_condom,fam_injectibles,fam_unmet_need,fam_healthworkers,fam_sideeffects,mother_antenatal,mother_neonatal,mother_folic,mother_MCP,delivery_expense,institutional_birth,births_csection,child_vaccinated,child_public_vaccinated,child_private_vaccinated,child_diarrhoea,child_resp,child_diet,child_stunted,child_wasted,child_severely_wasted,child_underwght,child_overwght,women_lowBMI,women_highBMI,women_high_wh,child_anaemic,women_anaemic,young_women_anaemic,women_highBS,men_highBS,women_highBP,men_highBP,women_cervical,women_breast,women_oral,women_tobbaco,men_tobbaco,women_alc,men_alc,HDI,st,dc
Upper Subansiri,Arunachal Pradesh,27.31,1052.16,1134.79,86.96,94.73,80.93,32.77,99.82,21.49,31.8,26.66,13.19,92.71,53.2,48.44,17.5,6.8,14.46,3.06,4.36,17.31,19.76,74.57,32.11,79.14,8.38,98.63,10086.7,76.24,17.85,76.34,100,0,5.9,1.28,15.43,36.79,12.17,8.06,19.18,8.96,2.77,24.95,81.55,60.42,36.69,39.21,6.62,10.61,25.44,37.54,0.5,0.1,0.31,19.76,55.33,42.77,65.6,0.574,12.0,5.0
Upper Siang,Arunachal Pradesh,25.8,894.05,983.18,99.46,99.82,91.75,36.32,99.13,34.6,34.75,17.05,7.06,91.52,62.01,54.03,29.95,7.37,6.85,7.55,0.56,11.94,22.06,71.71,34.01,73.54,5.37,97.14,12364.61,74.89,14.2,67.18,97.72,0.01,6.22,1.52,25.24,30.37,12.49,4.99,12.0,13.51,2.41,27.28,63.77,51.01,29.17,27.15,7.49,10.34,26.13,31.73,0.72,0.36,0.36,21.31,59.16,21.99,61.17,0.737,12.0,8.0
Changlang,Arunachal Pradesh,28.7,963.33,1019.25,95.15,81.8,82.3,34.08,99.21,40.54,30.51,16.75,9.03,89.08,71.4,46.34,15.06,1.62,27.49,1.81,0.0,6.73,20.86,88.56,46.94,88.06,14.09,99.25,6642.8,69.29,12.44,86.14,90.79,0.01,1.28,0.78,28.92,26.3,16.31,8.25,25.03,3.91,10.46,17.14,66.17,65.32,57.21,67.06,9.09,13.2,22.82,27.47,0.21,0.0,0.0,21.88,59.89,30.04,60.92,0.709,12.0,9.0
Lower Subansiri,Arunachal Pradesh,22.0,1015.7,1369.73,97.83,98.14,82.8,60.81,99.48,24.45,49.91,16.01,2.01,92.39,65.87,58.0,24.99,8.92,11.8,9.84,1.37,8.52,12.41,66.42,39.08,82.34,5.3,92.31,10266.47,86.79,19.6,88.69,100,0.01,6.4,4.16,29.81,30.69,11.45,5.9,8.06,14.44,4.31,23.21,68.77,52.44,40.46,59.38,9.06,14.18,25.66,36.64,3.62,0.74,0.8,17.97,46.69,16.82,48.08,0.774,12.0,11.0
Dibang Valley,Arunachal Pradesh,22.06,982.93,1054.47,79.23,100.0,94.99,49.26,99.58,28.69,43.17,20.71,0.67,88.59,69.13,49.74,23.85,9.52,8.18,5.63,1.16,4.63,24.11,88.52,40.38,85.23,8.1,95.84,7050.25,78.83,10.33,91.24,96.57,3.43,3.87,0.71,10.96,16.88,18.12,7.83,15.95,4.55,3.81,21.66,82.06,88.56,62.87,67.67,9.37,12.16,32.19,45.39,0.31,0.39,0.79,20.25,55.4,27.88,64.33,0.756,12.0,13.0
Lower Dibang Valley,Arunachal Pradesh,24.52,1009.65,884.08,84.39,99.52,89.88,57.38,98.7,36.79,51.89,13.79,1.55,96.0,75.34,56.4,28.44,12.21,3.89,8.26,0.38,4.85,21.41,94.8,48.62,87.46,3.31,97.24,6112.08,86.78,11.02,81.04,100,0,2.81,1.01,23.88,14.26,7.61,2.91,9.65,5.03,4.08,16.78,75.06,51.51,34.6,39.38,8.87,13.15,25.59,38.13,0.0,0.2,0.19,20.62,52.1,20.25,48.66,0.828,12.0,14.0
Anjaw,Arunachal Pradesh,23.18,939.24,957.37,96.39,86.61,86.82,29.01,99.56,17.47,28.81,21.8,5.06,89.04,64.74,50.9,21.24,8.63,15.85,2.89,1.12,6.79,29.63,79,32.32,80.17,1.17,97.9,6514.83,76.91,12.61,90.53,100,0.01,9.31,7.13,25.42,23.56,14.31,7.52,16.01,2.9,2.35,22.79,66.88,57.11,35.86,42.21,13.02,18.26,31.14,42.61,0.85,0.63,0.21,22.1,66.1,31.62,68.38,0.611,12.0,16.0
East Siang,Arunachal Pradesh,23.09,1058.6,1161.58,97.28,97.27,83.89,52.44,99.38,30.5,55.56,14.91,4.59,87.76,39.95,35.85,14.44,5.15,7.14,6.73,0.93,17.56,15.38,61.72,34.26,75.22,6.59,94.42,12217.15,85.39,18.63,65.63,100,0.01,8.49,2.0,23.95,24.62,8.55,4.2,10.27,9.02,6.79,27.87,67.94,51.51,35.2,40.36,9.45,12.69,29.69,38.09,1.06,0.18,0.84,24.65,51.34,18.75,50.66,0.805,12.0,7.0
Kra Daadi,Arunachal Pradesh,33.52,976.12,867.02,99.69,99.84,89.26,78.33,99.16,23.97,27.4,24.84,12.86,89.62,46.13,39.88,16.71,5.65,13.38,1.39,0.62,16.51,19.48,48.14,18.27,55.06,9.03,97.69,20100.56,69.42,18.86,70.33,100,0.01,5.98,1.76,14.56,28.8,9.38,5.69,14.54,20.17,1.97,29.82,80.89,61.95,22.6,37.24,4.06,5.68,19.41,26.14,0.0,0.26,0.58,9.9,24.96,11.5,34.8,0.77,,
Kurung Kumey,Arunachal Pradesh,30.96,997.3,868.54,99.2,99.79,78.33,57.28,99.65,13.43,34.66,19.8,7.65,96.09,54.13,47.89,16.89,5.63,17.02,4.09,3.51,16.37,22.73,82.59,44.11,76.95,8.55,97.04,9838.25,64.24,17.11,76.68,100,0.01,4.66,5.6,18.73,29.2,15.06,5.29,13.85,5.77,2.68,23.27,78.83,62.39,34.79,42.16,6.88,10.31,19.22,25.98,0.67,0.0,1.4,16.42,39.38,27.47,50.15,0.614,12.0,12.0
