st,dc,hh_size_mean,hh_size_median,hce1_mean,hce1_median,hce2_mean,hce2_median,hce3_mean,hce3_median,hce4_mean,hce4_median,hce5_mean,hce5_median,hce_tot_mean,hce_tot_median,mult_total,relg_2_pct,relg_4_pct,relg_1_pct,relg_3_pct,relg_9_pct,relg_6_pct,relg_5_pct,relg_7_pct,sg_9_pct,sg_3_pct,sg_1_pct,sg_2_pct
1,15,5.710221234685089,5.0,6967.263611602664,6825.0,1802.3972379442484,1600.0,837.1690021987376,550.0,18492.50136704633,15500.0,23073.134826089467,21250.0,13070.672318098086,11804.0,51031555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,16,4.835652903595751,4.0,12152.237032677507,12000.0,1462.8308233862851,1500.0,459.5935001439708,400.0,13975.656741273257,12000.0,10368.85628568986,4800.0,16103.417230786228,16050.0,64804820,0.421875,0.0,0.578125,0.0,0.0,0.0,0.0,0.0,0.84375,0.0,0.09375,0.0625
1,17,5.120026406845678,5.0,11836.186941771159,8000.0,1486.3628403020934,1300.0,664.8244376500803,500.0,17778.961734615248,15000.0,9244.375349855836,5000.0,16239.285620167198,12679.5,93922615,0.625,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.7291666666666666,0.010416666666666666,0.17708333333333334,0.08333333333333333
1,18,5.161556685894746,5.0,9784.505164024711,8000.0,2282.863473415519,2500.0,688.8055519379901,600.0,14819.369369349592,13300.0,4381.859848249007,3400.0,14356.321159952295,13804.5,45549356,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.25,0.20833333333333334
1,19,4.542146338245841,5.0,14303.95527292652,12000.0,1143.4667425416046,1200.0,892.6864087101505,675.0,23109.153941095006,16250.0,7521.350017449408,4750.0,18892.692548638403,16277.0,56549195,0.265625,0.0,0.734375,0.0,0.0,0.0,0.0,0.0,0.515625,0.03125,0.15625,0.296875
1,20,4.653522373280697,5.0,10245.16701184876,10000.0,2036.0782249608424,2000.0,698.8645081628007,675.0,15413.76929904016,17000.0,4616.082969026966,3100.0,14649.33663499043,15550.0,64185446,0.390625,0.0,0.609375,0.0,0.0,0.0,0.0,0.0,0.625,0.015625,0.203125,0.15625
1,21,4.388194838583005,4.0,16188.643699758024,14000.0,1221.3590100664983,0.0,194.3519391982061,0.0,13340.006167444191,10000.0,12090.456096187225,4500.0,19723.537992481848,16746.0,281387224,0.052083333333333336,0.03333333333333333,0.9125,0.0020833333333333333,0.0,0.0,0.0,0.0,0.50625,0.11875,0.025,0.35
1,22,4.341731843110533,4.0,17917.236809680115,12000.0,2077.716679406052,2000.0,342.45588269140717,300.0,10910.829672636331,7000.0,5378.3248874008805,3000.0,21694.868340993908,15458.5,75948196,0.06818181818181818,0.0,0.9090909090909091,0.022727272727272728,0.0,0.0,0.0,0.0,0.6931818181818182,0.06818181818181818,0.07954545454545454,0.1590909090909091
2,1,3.6227026547960874,3.0,7091.796303467322,6295.0,2143.9434716328556,2250.0,338.17855297433283,250.0,5559.009779654632,5225.0,3752.071458828955,1850.0,10349.913067500856,9929.5,91394025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5526315789473685,0.013157894736842105,0.3157894736842105,0.11842105263157894
2,2,3.6430053459642515,3.0,10150.749893270036,7250.0,1386.9764160361144,1250.0,302.2385940420147,250.0,7528.433889868431,6500.0,8807.51951420829,1850.0,13201.328999756968,9939.5,304773830,0.012254901960784314,0.0024509803921568627,0.9803921568627451,0.0024509803921568627,0.0,0.0024509803921568627,0.0,0.0,0.2696078431372549,0.41911764705882354,0.09803921568627451,0.21323529411764705
